,genres,n_genres,loss,accuracy
7474,"hiphop, country, latin, rock, edm_dance, jazz, soul",3,1.3444421006672418,0.44104477763175964
7475,"hiphop, country, latin, rock, edm_dance, jazz, kpop",3,1.4947051249325536,0.43105950951576233
7476,"hiphop, country, latin, rock, edm_dance, jazz, reggae",3,1.3764263709027396,0.4552294909954071
7477,"hiphop, country, latin, rock, edm_dance, jazz, blues",3,1.43941805349794,0.3828306198120117
7478,"hiphop, country, latin, rock, edm_dance, soul, kpop",3,1.3002945749001233,0.5365296602249146
7479,"hiphop, country, latin, rock, edm_dance, soul, reggae",3,1.482730391279982,0.44031620025634766
7480,"hiphop, country, latin, rock, edm_dance, soul, blues",3,1.7191586566165211,0.2829268276691437
7481,"hiphop, country, latin, rock, edm_dance, kpop, reggae",3,1.4566748107476868,0.43207982182502747
7482,"hiphop, country, latin, rock, edm_dance, kpop, blues",3,1.740748314451344,0.2744479477405548
7483,"hiphop, country, latin, rock, edm_dance, reggae, blues",3,1.421411102672793,0.43478259444236755
7484,"hiphop, country, latin, rock, indie_alt, classical, jazz",3,1.047368138327803,0.5795297622680664
7485,"hiphop, country, latin, rock, indie_alt, classical, soul",3,1.0172738274283282,0.5784526467323303
7486,"hiphop, country, latin, rock, indie_alt, classical, kpop",3,1.0321692424622495,0.5805770754814148
7487,"hiphop, country, latin, rock, indie_alt, classical, reggae",3,1.0293796086797908,0.5736151337623596
7488,"hiphop, country, latin, rock, indie_alt, classical, blues",3,0.9598879699935456,0.591317355632782
7489,"hiphop, country, latin, rock, indie_alt, jazz, soul",3,1.274917655893604,0.5277067422866821
7490,"hiphop, country, latin, rock, indie_alt, jazz, kpop",3,1.455731739690735,0.4351775348186493
7491,"hiphop, country, latin, rock, indie_alt, jazz, reggae",3,1.2345539007252546,0.5370051860809326
7492,"hiphop, country, latin, rock, indie_alt, jazz, blues",3,1.3874063464295165,0.4698046147823334
7493,"hiphop, country, latin, rock, indie_alt, soul, kpop",3,1.8473584642593197,0.23888404667377472
7494,"hiphop, country, latin, rock, indie_alt, soul, reggae",3,1.4046162963999207,0.42531874775886536
7495,"hiphop, country, latin, rock, indie_alt, soul, blues",3,1.751055436995606,0.25587958097457886
